name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.71ms,67.80us,1.34us,68.26us,2.35us,65.26us,83.36us
imported/sherlock/name-sherlock-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,100.70ms,73.12us,60.00ns,73.88us,2.36us,72.88us,96.83us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,100.69ms,66.39us,297.00ns,67.42us,3.44us,65.57us,108.82us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.72ms,83.77us,2.07us,84.37us,3.30us,80.11us,110.48us
imported/sherlock/name-holmes-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,150.85ms,108.02us,153.00ns,109.28us,3.36us,107.47us,138.31us
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,150.81ms,117.69us,1.40us,120.42us,9.76us,114.43us,313.58us
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,100.77ms,44.35us,299.00ns,44.87us,1.76us,43.46us,61.38us
imported/sherlock/name-sherlock-holmes-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,100.78ms,75.29us,53.00ns,76.03us,1.89us,75.10us,93.18us
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,451.30ms,381.97us,4.70us,382.72us,6.46us,370.15us,421.75us
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,199,751.88ms,2.52ms,10.66us,2.52ms,20.91us,2.49ms,2.68ms
imported/sherlock/name-alt3-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,551.54ms,491.67us,1.07us,492.75us,3.78us,486.60us,544.08us
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,1000,300.99ms,251.56us,3.12us,252.50us,5.14us,243.82us,282.60us
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,367,651.79ms,1.36ms,5.17us,1.36ms,12.36us,1.34ms,1.47ms
imported/sherlock/name-alt5-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,301.06ms,241.70us,2.26us,242.32us,11.77us,238.28us,592.96us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,594933,970,601.94ms,513.45us,3.66us,515.23us,8.52us,502.44us,656.45us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,594933,1000,551.84ms,480.20us,5.03us,481.06us,9.70us,466.10us,633.78us
imported/sherlock/the-casei,count-spans,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,594933,1000,551.81ms,486.09us,1.97us,488.03us,13.90us,478.34us,782.52us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613357,1000,100.72ms,82.12us,535.00ns,83.08us,3.61us,79.10us,122.57us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,613357,1000,100.78ms,44.44us,214.00ns,44.86us,1.60us,43.69us,63.55us
opt/prefilter/literal-casei-english,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613357,1000,100.76ms,63.65us,57.00ns,64.34us,1.93us,63.43us,79.38us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),casei,casei-rebar 1,,613423,1000,100.66ms,57.31us,171.00ns,58.30us,3.29us,56.65us,86.80us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),pcre2/jit,10.47 2025-10-21,,613423,1000,100.69ms,44.82us,76.00ns,45.29us,1.69us,44.44us,64.49us
opt/prefilter/literal-casei-russian,count,0.1.0 (rev 463d00f318),rust/regex,1.12.4,,613423,1000,100.74ms,80.79us,138.00ns,81.50us,1.74us,80.47us,95.85us
